,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,p_a35dfc63a25069c7,New+Delhi,data+scientist+intern,(Unpaid)Junior Data Scientist Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Junior-Data-Scientist-Intern-a35dfc63a25069c7?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
2,p_516445f3bb7cbcc1,New+Delhi,data+scientist+intern,Statistics/Data Science Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=516445f3bb7cbcc1&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
3,p_2d57de65f669fed1,New+Delhi,data+scientist+intern,Internet Research Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=2d57de65f669fed1&fccid=a21e01dcbc25fe3f&vjs=3,18 hours ago,NOT_FOUND
4,p_3e2fb028dfd10f8a,New+Delhi,data+scientist+intern,Full Stack Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3e2fb028dfd10f8a&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
5,p_4c2c5e8b48ca9180,New+Delhi,data+scientist+intern,(Unpaid) Frontend GUI developer intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Frontend-GUI-Developer-Intern-4c2c5e8b48ca9180?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
6,p_a5f35165a10d4680,New+Delhi,data+scientist+intern,Mobile App Development Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a5f35165a10d4680&fccid=4a6810a635e7d882&vjs=3,5 days ago,NOT_FOUND
7,p_c0a8ae3cddd6fce4,New+Delhi,data+scientist+intern,Web Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c0a8ae3cddd6fce4&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
8,p_32b37332563da467,New+Delhi,data+scientist+intern,(Unpaid) PHP developer Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/PHP-Developer-Intern-32b37332563da467?fccid=abdb9aaf9a8b8de8&vjs=3,30+ days ago,NOT_FOUND
9,p_74ac6758076f1911,New+Delhi,data+scientist+intern,Business Development (Sales) Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=74ac6758076f1911&fccid=4a6810a635e7d882&vjs=3,6 days ago,NOT_FOUND
10,p_a35dfc63a25069c7,New+Delhi,data+scientist+intern,(Unpaid)Junior Data Scientist Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Junior-Data-Scientist-Intern-a35dfc63a25069c7?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
11,p_516445f3bb7cbcc1,New+Delhi,data+scientist+intern,Statistics/Data Science Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=516445f3bb7cbcc1&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
12,p_3e2fb028dfd10f8a,New+Delhi,data+scientist+intern,Full Stack Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3e2fb028dfd10f8a&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
13,p_4c2c5e8b48ca9180,New+Delhi,data+scientist+intern,(Unpaid) Frontend GUI developer intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Frontend-GUI-Developer-Intern-4c2c5e8b48ca9180?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
14,p_2d57de65f669fed1,New+Delhi,data+scientist+intern,Internet Research Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=2d57de65f669fed1&fccid=a21e01dcbc25fe3f&vjs=3,18 hours ago,NOT_FOUND
15,p_c0a8ae3cddd6fce4,New+Delhi,data+scientist+intern,Web Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c0a8ae3cddd6fce4&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
16,p_a5f35165a10d4680,New+Delhi,data+scientist+intern,Mobile App Development Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a5f35165a10d4680&fccid=4a6810a635e7d882&vjs=3,5 days ago,NOT_FOUND
17,p_32b37332563da467,New+Delhi,data+scientist+intern,(Unpaid) PHP developer Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/PHP-Developer-Intern-32b37332563da467?fccid=abdb9aaf9a8b8de8&vjs=3,30+ days ago,NOT_FOUND
18,p_74ac6758076f1911,New+Delhi,data+scientist+intern,Business Development (Sales) Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=74ac6758076f1911&fccid=4a6810a635e7d882&vjs=3,6 days ago,NOT_FOUND
19,p_a35dfc63a25069c7,New+Delhi,data+scientist+intern,(Unpaid)Junior Data Scientist Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Junior-Data-Scientist-Intern-a35dfc63a25069c7?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
20,p_516445f3bb7cbcc1,New+Delhi,data+scientist+intern,Statistics/Data Science Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=516445f3bb7cbcc1&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
21,p_3e2fb028dfd10f8a,New+Delhi,data+scientist+intern,Full Stack Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3e2fb028dfd10f8a&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
22,p_4c2c5e8b48ca9180,New+Delhi,data+scientist+intern,(Unpaid) Frontend GUI developer intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Frontend-GUI-Developer-Intern-4c2c5e8b48ca9180?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
23,p_2d57de65f669fed1,New+Delhi,data+scientist+intern,Internet Research Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=2d57de65f669fed1&fccid=a21e01dcbc25fe3f&vjs=3,18 hours ago,NOT_FOUND
24,p_c0a8ae3cddd6fce4,New+Delhi,data+scientist+intern,Web Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c0a8ae3cddd6fce4&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
25,p_a5f35165a10d4680,New+Delhi,data+scientist+intern,Mobile App Development Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a5f35165a10d4680&fccid=4a6810a635e7d882&vjs=3,5 days ago,NOT_FOUND
26,p_32b37332563da467,New+Delhi,data+scientist+intern,(Unpaid) PHP developer Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/PHP-Developer-Intern-32b37332563da467?fccid=abdb9aaf9a8b8de8&vjs=3,30+ days ago,NOT_FOUND
27,p_74ac6758076f1911,New+Delhi,data+scientist+intern,Business Development (Sales) Internship,Twango,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=74ac6758076f1911&fccid=4a6810a635e7d882&vjs=3,6 days ago,NOT_FOUND
28,p_a35dfc63a25069c7,New+Delhi,data+scientist+intern,(Unpaid)Junior Data Scientist Intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Junior-Data-Scientist-Intern-a35dfc63a25069c7?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
29,p_516445f3bb7cbcc1,New+Delhi,data+scientist+intern,Statistics/Data Science Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=516445f3bb7cbcc1&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
30,p_3e2fb028dfd10f8a,New+Delhi,data+scientist+intern,Full Stack Development Internship,Profeza,"Faridabad, Haryana",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3e2fb028dfd10f8a&fccid=a21e01dcbc25fe3f&vjs=3,6 days ago,NOT_FOUND
31,p_4c2c5e8b48ca9180,New+Delhi,data+scientist+intern,(Unpaid) Frontend GUI developer intern,Femiza Technologies Pvt Ltd,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Femiza-Technologies-Pvt-Ltd/jobs/Frontend-GUI-Developer-Intern-4c2c5e8b48ca9180?fccid=abdb9aaf9a8b8de8&vjs=3,27 days ago,NOT_FOUND
