,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,pj_9c7b9ef994297ecd,Bengaluru,data+scientist,Vendor Master Data Analyst,Hexion Inc.,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0DvTGQEdouFXfW1YQW6wcqcjw0yLtg6_84KUJskAj4WIu8xv8KNKoMKZcIAHIimS1fb_ylELZFeBVSMYorpascJLp2ob0jY6AevYDQCE3fcllGv-k1F56F56BecM4OaY26xTemFW4utwULj75-ZVSOUsLY8BMizpmLiJfh0h7b2ml3jW-V-Np1ISJXrlrAgoKhlmQPGsmIZLJA59f44pkAXE8Wf22FHKFy_OF8BOwFlayhdHfVarMACjQPX-V1C4QQUGXflFpp-gb9gPPDhUej3ajE3YO6z7ofI6CctraSvlmKAHRjyu9Lpbu4s9XSQsyBsuQ2s7gtHopZNDseBL-pnwOKmA2rDFIUu9MIkFbhEie_5fsMtfoOEa-ZDESuZDxQxwLHoIjSW1YZ2sxy-PKpT3R8aypktfUw9yP8VoeSxC-oYL2LBxLVkMmHS19TeJmx8AGsc56m0phkmSY8EWae1Dlk3XWwg1oq2RjTwvB1tw7-q6X8RymUHDuB-gJKDWPmc4sLOTSwT2Dm7Z3YQfbnmqLvdbTke_gC8A5WUHe0nJBENu3VwFwVbjOkAiJjq6UKq3hsmwp79Hiyjzs6zNnxpc9ssB-_Tz1k=&p=0&fvj=0&vjs=3,NOT_FOUND,NOT_FOUND
2,pj_d90e37d34404eccf,Bengaluru,data+scientist,Data and Analytics,Infosys,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RVZdLh4RDnCtsmh0Chq7FaP45RcyrJBrId7tkcItFImBY83BvjH0HXYgxGt5Uf0k8Gx5pAADmtKj-ZNR4GFREsEj4JFCBT9cMg6SugtCAAj13L_zCFQVWJHusAwMKvl52poW8GVMM-dYlqij71Ufi2707U6eIX3u0FO9HWJ5oCNiSS1Tb7G99yfLShojKx1GpIAZQxK5KGkwGspMqbYqqVRuRGxlp8ufXCF761UVc3cHjUkeEKumXtgpiVDKCTvqIIQQY1tSW4ZnKYszjCFlp9mhCUxOny-kpKjC-hkUdEJjACowuA4MNvh5YQ05Wn0n6JWO7p8hAg0l0qyoiBYSZOD5MSmanEV6HJnubvxx92oNCGtE1s0XLBXO5byR1rzXIbb5xgha9xrCF5rZOeB8l8ZH6mpomqM-ZNVY8f_WJbVcv_4678v1hP3dNgrEofpYFF4HUiWfS9IBewAo0-2521vJQt687Xte1NC6rZrHpa5Ou9j5eV8i9rnTuWZVUo509WFGFQis60LFf_171KfebKbZFxhhInlx0NuMydC6giRU&p=1&fvj=0&vjs=3,NOT_FOUND,NOT_FOUND
3,pj_2260069359699257,Bengaluru,data+scientist,CH-Statistical Programmer-1(SDTM),Covance,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0B9dYZtjMlwoX0B13_zue4UmuQuZ9KbXavotx0oCRbwOcMuK4J3NSV4XSR4sTDJaPBTVjFBfH8sm6yZ1_pG7-guTk05H9vmVyudF78ebN5Fw59Aj_gF_3ZVzm3MXmDON6MF7abQrBDEa00V09rCXOVa3lmHqHzWT8852ZbGxFocpX3Q34rD-3Ay3Sf-B3uRKRZ97K6vLrhN3K9ev1S7Gn0Bx-_fCRDbZUNsKKa68xHPromR44NcUs2em3LsH8_jYBegnJCH2V2vUW18l17EWf9pRWIUzLkFpASuSgFVjyS-_2iVsALqvDW7AOrtibtEJSRBIFpxkjPaGmJsG7l56i8NezmlTnQCrh_Hrsysosl77wW96DgIdCuBpq6YdM0-rlwyVWMImdh6PlGhB39DhtYNbMo7dlQ57IljkfGFAvxz9mttVyT0ZzYsykV-mmqKWDC-sdpOvoDv4xPGviyky9_HOyBzN9NbLDc=&p=2&fvj=0&vjs=3,NOT_FOUND,NOT_FOUND
4,pj_9130446df0d134a0,Bengaluru,data+scientist,Data Scientist,Capgemini,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0AonsNxsw78AVs48MN8qASNIta7b03sjdFtZlBJTV357oJxJQ1vWJwoQyXIo2mjTC7zUF2bNdULGc8FcUqrx1dMnw0Dv708Ox9peikR7fXWi34AThDMsyS4HM1TmM4H6va9WfcBCRP0Zd9mNqiO4CjvWCEywi7rwCcYpnnORlsB7zWsqYdQQCnRJl1jEGHjbOVR3qYAFYAu-P8bQc8ATDOY_5wu94z5rwkXS0rzrIUWydMeEQ-zVPKP75RYSEg5UhkdX8qWSlEiJdPzIoIjbuXczCVthqUsI3HXwNS4hPQWeakBR3Zas-ycFxAizFqffltu8lgKFqL2lBhFJvJm6dnCtVoqkL5nCvCXC-rrfHy-DBa_PdHhoQPaYhpWYZHlVqzm_cougIRkA66gvCZ74LeyRLYKNd5JOIsqKt9Cn8s78vlJ0NUesPnFt7hAJzpSrHEX2Dnjlkr5seDYiAxCU7p0_Baup3QQ1Qx7QJlPFduZxk8Q6oxr1Kpxa1S8Hv8RNjJGMGUYL2R7jDntbXZhS4uEcqkga3NB_Jpm2fclbBbgPM8XgEXb126DkclCS5H5IpAMBdilI-6QzUBIU7Ep5hctNc1pyeekB9JanNhuhvzZQLWSO7DiiYSzZe3iFuFOSoNSDCDzkQqkWV4Ycdmw1LmDBTrnuqkC-qP6_WHWcE2Px-NyUiZ53mrRr7ykunn8IGowdRMce_ATlOq6gz2ZM-VUVS0BMIDn1qs=&p=3&fvj=0&vjs=3,NOT_FOUND,NOT_FOUND
5,p_83e0033f072c94d3,Bengaluru,data+scientist,Data Scientist-Data Analytics,AgilitySmart Pvt Ltd,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/company/AgilitySmart-Pvt-Ltd/jobs/Data-Scientist-Data-Analytic-83e0033f072c94d3?fccid=26c73898993a576f&vjs=3,1 day ago,NOT_FOUND
6,p_f93cc0bc50df8e3f,Bengaluru,data+scientist,Data Scientist,GE Healthcare,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=f93cc0bc50df8e3f&fccid=65b5f2aba4dbd31f&vjs=3,1 day ago,NOT_FOUND
7,p_4b4a43a05419c04c,Bengaluru,data+scientist,Data Scientist,Walmart eCommerce,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=4b4a43a05419c04c&fccid=8c49e99f20f89e48&vjs=3,3 days ago,NOT_FOUND
8,p_cab87c6c9c575746,Bengaluru,data+scientist,Junior Data Scientist,Joulon Services India Pvt. Ltd.,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/company/Joulon-Services-India-Pvt.-Ltd./jobs/Junior-Data-Scientist-cab87c6c9c575746?fccid=b404c35d98bb6ef1&vjs=3,10 days ago,NOT_FOUND
9,p_f4d03cedf1f77334,Bengaluru,data+scientist,Data Scientist,Cranium IT,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/company/Cranium-IT/jobs/Data-Scientist-f4d03cedf1f77334?fccid=1c1befe2ce29ac43&vjs=3,6 days ago,NOT_FOUND
10,p_8b9ec994440a893e,Bengaluru,data+scientist,Data Scientist,Quanticate ltd,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=8b9ec994440a893e&fccid=8c05cf19376eafeb&vjs=3,1 day ago,NOT_FOUND
