,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,p_02e10477fb8bd38a,New+Delhi,data+scientist,Junior Data Scientist,Algo8,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/company/Algo8/jobs/Junior-Data-Scientist-02e10477fb8bd38a?fccid=9a56aedaf8457f43&vjs=3,2 days ago,NOT_FOUND
2,p_1a1cd4a69b3b0094,New+Delhi,data+scientist,Data scientist faculty,ionic institute,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/company/Ionic-Institue/jobs/Data-Scientist-Faculty-1a1cd4a69b3b0094?fccid=22353f1af79d6a33&vjs=3,3 days ago,NOT_FOUND
3,p_5c4a66901cf8b7a2,New+Delhi,data+scientist,data scientist trainer,ionic institute,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/company/Ionic-Institue/jobs/Data-Scientist-Trainer-5c4a66901cf8b7a2?fccid=22353f1af79d6a33&vjs=3,1 day ago,NOT_FOUND
4,p_19cd527a06656fac,New+Delhi,data+scientist,Data Scientist,Kreate Global,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=19cd527a06656fac&fccid=1a586123068b85ab&vjs=3,30+ days ago,NOT_FOUND
5,p_46c05f5e4257bce1,New+Delhi,data+scientist,Data Scientist,Ank Aha,"New Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=46c05f5e4257bce1&fccid=bb06134d61a9b592&vjs=3,30+ days ago,NOT_FOUND
6,p_2b054ee98af61042,New+Delhi,data+scientist,A/M/SM - Data Scientist-BFSI,â neerinfo solutions,"New Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=2b054ee98af61042&fccid=699cf6e7f8ae91fd&vjs=3,30+ days ago,NOT_FOUND
7,p_d274840584d8851c,New+Delhi,data+scientist,Data Scientist,Hike,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d274840584d8851c&fccid=ce259e8a422c905e&vjs=3,30+ days ago,NOT_FOUND
8,p_8f8db206c9b1ca1c,New+Delhi,data+scientist,Data Scientist,Fitfyles,"New Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=8f8db206c9b1ca1c&fccid=28dd533740cf36da&vjs=3,30+ days ago,NOT_FOUND
9,p_d51fe5fb0698fca4,New+Delhi,data+scientist,Data Scientist,Adobe,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d51fe5fb0698fca4&fccid=f89deb5a97c7738a&vjs=3,15 days ago,NOT_FOUND
10,p_840771a7eb15e6f5,New+Delhi,data+scientist,Machine Learning | Data Scientist,TalPro Manpower Consulting Services,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=840771a7eb15e6f5&fccid=425d35a97d404cf8&vjs=3,3 hours ago,NOT_FOUND
11,p_c1062d06c5df36ce,New+Delhi,data+scientist,Lead Data Scientist,Amipiya Techsoft Pvt. Ltd.,"Saket, Delhi",NOT_FOUND,NOT_FOUND,/company/Amipiya-Techsoft-Pvt.-Ltd./jobs/Lead-Data-Scientist-c1062d06c5df36ce?fccid=8549a63c4d33ee08&vjs=3,27 days ago,NOT_FOUND
12,p_d9e9529cd7c863a3,New+Delhi,data+scientist,Data Scientist,GoPaisa,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d9e9529cd7c863a3&fccid=cc6fe90b2fa7d8f2&vjs=3,5 months ago,NOT_FOUND
13,p_8151f036ff6c2904,New+Delhi,data+scientist,Data Scientist,Amipiya Techsoft Pvt. Ltd.,"Zakhira, Delhi",NOT_FOUND,NOT_FOUND,/company/Amipiya-Techsoft-Pvt.-Ltd./jobs/Data-Scientist-8151f036ff6c2904?fccid=8549a63c4d33ee08&vjs=3,27 days ago,NOT_FOUND
14,p_829ca02a39d230b3,New+Delhi,data+scientist,Data Scientist,cube26,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=829ca02a39d230b3&fccid=9804b7a19d824fd8&vjs=3,5 months ago,NOT_FOUND
15,p_1e3ea99546bf45b8,New+Delhi,data+scientist,Data Scientist,Chegg,"New Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=1e3ea99546bf45b8&fccid=a5cbd2514edf7804&vjs=3,30+ days ago,NOT_FOUND
16,p_b8822026d4fe5565,New+Delhi,data+scientist,Junior Data Analyst,SiCureMi Healthcare Technologies,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b8822026d4fe5565&fccid=8b8509093c1d502b&vjs=3,12 days ago,NOT_FOUND
17,p_d2a0da0f46c1b0fb,New+Delhi,data+scientist,Data Scientist,Healtheoz India,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d2a0da0f46c1b0fb&fccid=06103eeb9a06fa50&vjs=3,25 days ago,NOT_FOUND
18,p_c7c6be2ea5461dfc,New+Delhi,data+scientist,Data Analyst - Finance,SSSPL,"Delhi, Delhi",NOT_FOUND,NOT_FOUND,/company/Spirient-Staffing-Solutions-Pvt.-Ltd./jobs/Data-Analyst-c7c6be2ea5461dfc?fccid=cd462ed79e9cd1e6&vjs=3,4 days ago,NOT_FOUND
19,p_925dd6840dba4668,New+Delhi,data+scientist,Training Consultant - Data Analytics,Digital Vidya,"Krishna Market, Delhi",NOT_FOUND,NOT_FOUND,/company/Digital-Vidya/jobs/Training-Consultant-925dd6840dba4668?fccid=2dd3258ee7d8e6fb&vjs=3,1 day ago,NOT_FOUND
20,p_56e3bff4b62e5854,New+Delhi,data+scientist,Data Scientist,Valiance Solutions,"Noida, Uttar Pradesh",NOT_FOUND,NOT_FOUND,/rc/clk?jk=56e3bff4b62e5854&fccid=aac3cf2de368e654&vjs=3,30+ days ago,NOT_FOUND
